,claim_veracity,claim,topics,speaker,context
3286,False,Wendy Davis has already taken more $ from teacher unions than the past 3 Democrat gubernatorial candidates combined.,"['campaign-finance', 'education']",Republican Party Texas,social media
3287,False,A proposed immigration bill will bankrupt Georgia if passed.,['immigration'],Libertarian Party Georgia,news
3288,False,Large majority of Republicans believe Obama is a Muslim and not U.S.-born.,"['candidates-biography', 'polls']",Gilberto Hinojosa,social media
3289,True,In three years we could find close to 50 million gallons per day through a toilet replacement program.,"['environment', 'water']",Sally Bethea,news
3290,False,The Washington D.C.-area never has a recession.,['economy'],Mike Huckabee,speech
3291,False,"Donald Trump Says that when Michelle Fields found out that there was a security camera, and that they had her on tape, all of a sudden that story changed.",['legal-issues'],Donald Trump,speech
3293,False,"McCain ""voted to let governments charge rape victims"" for forensic exams.",['legal-issues'],Planned Parenthood,ad
3294,False,"No Republicans voted for recent hikes in the income tax, payroll tax, capital gains tax, dividend tax and estate tax. These taxes were all passed under Obamacare.","['health-care', 'taxes']",Chain Email,writing
3295,False,"When Trump wanted to turn a taxpayer-owned building into an $800 anight hotel, (Congressman Jeff Denham, R-CA) helped broker the deal and bragged about it.",['elections'],Dccc Lgo,ad
3296,False,Chris Larson Says Chris Abele has had five years and hes done nothing about the Estabrook Dam.,['environment'],Chris Larson,speech
3297,False,Community banks are being destroyed by Dodd-Frank.,"['financial-regulation', 'new-hampshire-2012']",Newt Gingrich,speech
3298,False,"In New York City, an entry level janitor gets paid twice as much as an entry level teacher.","['education', 'jobs', 'labor']",Newt Gingrich,speech
3302,True,Theres no correlation between primary turnout and wins in the fall in the last 11 elections.,['elections'],David Brooks,speech
3304,False,Africa is spending the highest percentage of their GDP on education of any part of the world.,['education'],Michael Bloomberg,speech
3305,False,Recent studies have confirmed that any academic benefits of government funded preschool disappear by the fourth grade.,"['education', 'state-budget']",Glenn Grothman,news
3306,True,"The top 1 percent of income earners pay 40 percent of all state income taxes, and those at the bottom pay little or nothing.",['taxes'],Michael Doherty,speech
3309,True,"If you look at the states where soccer is most popular, theyre overwhelmingly blue states, and the states where soccer is least popular are red states.","['polls', 'sports']",Peter Beinart,speech
3310,True,The number of African-American men in prison has increased fivefold since he left office.,"['civil-rights', 'criminal-justice']",Jimmy Carter,speech
3311,True,"At the state level were spending more on tax expenditures than we are on public safety, health care and education combined.","['education', 'health-care', 'public-safety', 'state-budget', 'taxes']",Jefferson Smith,social media
3312,False,We have more hospitals that are childrens hospitals than any other state in the union. ,['health-care'],Bill Batchelder,speech
3313,True,"In head-to-head polls for the general election, I beat Hillary Clinton by more than anybody, by 11 points.",['polls'],John Kasich,speech
3314,False,New Hampshire Republican Party Says former U.S. Rep. Carol Shea-Porter refused to host town hall meetings during her time in Congress.,"['job-accomplishments', 'new-hampshire-2012', 'transparency']",New Hampshire Republican Party,speech
3315,True,In Malaysia many of the workers are indentured servants because their passports are taken away when they come into this country and are working in slave-like conditions.,"['foreign-policy', 'human-rights', 'labor', 'trade']",Bernie S,speech
3317,True,Ninety six percent of employers in the Granite State are considered small businesses.,"['congress', 'government-efficiency', 'government-regulation', 'small-business']",Jeanne Shaheen,speech
3318,True,"Amiddle-class family donates $1 to charity, they get 15 cents off their income tax. Bill Gates donates $1 to charity, he takes 35 cents off his income tax.",['taxes'],Robert Gibbs,speech
3320,False,"Marco Rubio is a ""Miami lobbyist.""",['candidates-biography'],Charlie Crist,ad
3322,False,Mitchell International Airport is the the third busiest airport in the world and the number one busiest in the country.,['transportation'],Lee Holloway,speech
3323,True,"Georgia is one of seven states to lose jobs in 2011 and has lost 8,200 jobs so far.",['jobs'],Eric Gray,speech
3325,True,Wisconsin Democrats during the previous administration adopted double-digit tax increases.,"['corporations', 'message-machine-2012', 'state-budget', 'taxes']",Scott Walker,ad
3326,False,I never considered myself a maverick.,['candidates-biography'],John Mccain,speech
3327,False,Mitt Romney says the Arizona immigration law should be a model for the nation.,['immigration'],Barack Obama,speech
3328,True,Individuals with mental illnesses die an average of 25 years earlier than those without a mental illness.,"['health-care', 'medicaid']",Terry Russell,speech
3329,False,Floridas economy became a bad economy ... because of a huge spike in oil prices in the summer of 2008.,"['economy', 'florida', 'gas-prices', 'housing', 'oil-spill']",Rick Santorum,speech
3331,False,Recommendations for a major tax overhaul for Georgia are an overall tax hike.,['taxes'],Americans Tax Reform,news
3332,False,The government -- not the armed forces -- is stockpiling hundreds of millions of rounds of ammunition for domestic use.,"['guns', 'homeland-security']",James Buchal,speech
3334,True,Six of Georgias counties have no lawyers at all.,['legal-issues'],Hugh Thompson,speech
3335,False,Employees in workplace freedom states make more money,"['income', 'jobs', 'workers']",Ron Maag,news
3336,False,Do this research watch how much crime picks up if you take away [football].,['crime'],Ray Lewis,speech
3337,False,The five Guantanamo detainees swapped for Bowe Bergdahl are back on the battlefield.,"['afghanistan', 'foreign-policy', 'military', 'terrorism']",Donald Trump,news
3339,False,Martin Luther King Jr. was a Republican.,"['civil-rights', 'history']",Philip Van Cleave,speech
3340,True,Rhode Island charter schools are nationally recognized as outperforming their counterparts across the country.,"['children', 'education', 'states']",Rose Mary Grant,speech
3344,False,Alaskas Prince William Sound is pristine now.,"['environment', 'pundits']",Rush Limbaugh,speech
3346,False,"While Americans pray for Paris, the government has acted on mandatory national vaccinations.","['congress', 'public-health', 'terrorism']",Viral Image,social media
3347,False,Every (personhood) bill Ive ever support has either had language that says were conforming to the constitutional rulings of the Supreme Court or something to that effect.,"['abortion', 'human-rights', 'voting-record']",Ken Cuccinelli,speech
3348,True,Scott Brown voted to give oil companies big tax breaks.,"['energy', 'voting-record']",Senate Majority Pac,ad
3350,True,The state of Georgia is near the bottom among states for SAT scores and graduation rates.,['education'],Chip Rogers,speech
3351,True,"Were only spending 2 percent of our GDP on our infrastructure, while China and India are spending 10 percent of their GDP reinvesting back into their country.",['infrastructure'],Tim Ryan,speech
3354,True,Odd fact for odd draft: No. 2 overall pick will earn more than the No. 1 pick due to no state tax in Florida. So 2 not so bad.,"['sports', 'taxes']",Adam Schefter,social media
3355,True,"One industry in America has increased its employment base in the last four years by 176,000 people: the United States government.",['government-efficiency'],Johnny Isakson,news
3356,True,"In 1947, when I was born, there were about 450,000 lions. In the mid-70s, when my kids were born, there were about 100,000. Today, there are less than 30,000.","['animals', 'environment']",Jack Hanna,speech
3358,True,"Thousands of politicians from across Ohio along with their relatives, employees and friends are still eligible to serve on the proposed redistricting commission.","['congress', 'elections', 'redistricting']",Protect Your Vote Ohio Protect Your Vote Ohio,news
3359,True,"Debbie Wasserman Schultz Says Mitt Romney is committed to overturning Roe vs. Wade, and he supports such amendments that define a life as beginning at the moment of conception.","['abortion', 'legal-issues']",Debbie Wasserman Schultz,speech
3361,False,"If the state turns down money for high-speed rail, it will kill nearly 10,000 permanent Wisconsin jobs.","['jobs', 'transportation']",Sierra Club,news
3362,False,Pat Toomey visited Joe Sestak and other veterans in 2002 and then came home and voted against every veterans appropriations bill.,['veterans'],Joe Sestak,speech
3363,False,North Carolina Republican Senate candidate Thom Tillis called Obamacare a great idea.,['health-care'],Kay Hagan,speech
3364,True,He has never voted for a federal restriction on gun ownership.,['guns'],Ron Paul,speech
3365,False,"In Oregon, 12,808 people were arrested for marijuana-related crimes in 2012.",['marijuana'],New Approach Oregon,speech
3367,True,The six largest cities in Ohio all have higher rates of violence and crime than every major city along the U.S.-Mexico border.,"['crime', 'immigration']",Silvestre Reyes,news
3368,True,He's sued gun manufacturers. He was supportive of Brady. He was supportive of things like assault weapon bans.,['guns'],Mike Huckabee,speech
3370,False,"Said U.S. Rep. Jim Marshall, D-Macon, sent nearly $2 billion overseas to build wind turbines and create jobs, mostly in China","['environment', 'message-machine', 'stimulus']",Austin Scott,ad
3372,True,"The Republican budget plan says that 10 years from now, if youre a 65-year-old whos eligible for Medicare, you should have to pay nearly $6,400 more than you would today.",['medicare'],Barack Obama,speech
3373,False,New York has bureaucrats telling you whether you can even drink a Big Gulp.,"['city-government', 'government-regulation', 'public-health']",Rick Perry,speech
3374,False,The wealth gap between blacks and whites in the United States is greater than the black-white wealth gap was in apartheid South Africa.,"['income', 'wealth']",Nicholas Kristof,ad
3375,False,"Chris Christie cut equal pay for women, calling it senseless bureaucracy.","['income', 'jobs', 'labor', 'women', 'workers']",Debbie Wasserman Schultz,news
3376,False,"According to a recent Congressional Budget Office report, under Obamacare, 7 million people will lose their employer-sponsored insurance.","['federal-budget', 'health-care', 'public-health']",Ted Cruz,speech
3377,True,We in Indiana have . . . the highest credit rating in the nation.,"['candidates-biography', 'debt', 'deficit', 'economy', 'history', 'job-accomplishments', 'state-budget', 'state-finances', 'states']",Mike Pence,speech
3379,True,"Cervical cancer in Africa is fully preventable with basic education, screeningand vaccines.","['foreign-policy', 'health-care', 'public-health']",Joe Biden,social media
3380,False,A member of the redistricting commission proposed in Issue 2 could accept a bribe from somebody and couldnt be removed from this commission.,"['elections', 'legal-issues', 'redistricting']",Jon Husted,speech
3381,True,"Making public colleges and universities tuition-free, that exists in countries all over the world, used to exist in the United States.","['education', 'history']",Bernie S,speech
3382,True,A wide majority of NRA households ... supported this legislation on gun background checks.,['guns'],Barack Obama,speech
3385,False,Social Security is a Ponzi scheme.,['social-security'],John Loughlin,social media
3387,False,"In 2011, texting surpassed alcohol as the leading contributing factor in teen driving deaths.",['public-safety'],Maria Sachs,speech
3388,False,"The vast majority of (Syrian) refugees are young, able-bodied men looking for work.","['foreign-policy', 'immigration']",Carly Fiorina,ad
3390,False,Rick Scott increased tuition at our state colleges and universities by double digits.,"['education', 'state-budget']",Florida Democratic Party,social media
3391,False,Our men and women of the Guard have been forced to contact food banks to feed themselves.,"['hunger', 'immigration', 'poverty']",Leticia Van De Putte,news
3392,True,Scott Walkers views on abortion are more restrictive than any Republican president in recent times.,"['abortion', 'candidates-biography', 'civil-rights', 'legal-issues', 'women']",Tammy Baldwin,speech
3393,False,The non-profit groupFeeding America is lying when it claimsthat one in five kids is fighting starvation daily in the United States.,"['children', 'hunger', 'poverty']",William Benson Huber,social media
3394,False,"Up until two weeks ago, John McCain was a leading proponent of amnesty. Now with me challenging him, suddenly he has changed.",['immigration'],Jd Hayworth,speech
3395,False,"An image of nine white, blondwomen shows the amazing diversity of Fox News anchors.","['diversity', 'women']",Facebook Posts,social media
3396,False,"The Medicare proposal by Rep. Paul Ryan, R-Wis., would allow insurance companies to deny you coverage and drop you for pre-existing conditions.","['corrections-and-updates', 'federal-budget', 'health-care', 'medicare']",Debbie Wasserman Schultz,speech
3397,True,"Of the four statewide races this century within a 300-vote margin, three have been overturned in a recount.",['elections'],Mark Obenshain,speech
3398,False,Michelle Obama ordered $400 worth of lobster and caviar at a New York hotel.,['candidates-biography'],Chain Email,writing
3399,True,Newt Gingrich said Spanish is the language of the ghetto.,"['elections', 'immigration', 'message-machine-2012']",Mitt Romney,speech
3400,False,"When I came into office, our vaccination rate in Texas was 65 percent. When I left two weeks ago, it was 95 percent.","['corrections-and-updates', 'health-care', 'public-health']",Rick Perry,speech
3401,True,Central Health is the only hospital district in Texas that spends taxpayer dollars on abortions.,['abortion'],Wayne Christian,news
3403,False,Women who have miscarriages could be investigated by police under legislation supported by Republican state Senate candidate Rick Gudex.,"['abortion', 'message-machine-2012']",Greater Wisconsin Political Fund,ad
3406,False,"President Obama ""doesn't ... want to admit we're at war.""",['terrorism'],Dick Cheney,speech
3408,False,Barack Obama Says stories about his birth certificate drowned out media coverage of the Republican and White House budget plans the week of April 11.,"['deficit', 'federal-budget', 'obama-birth-certificate']",Barack Obama,speech
3409,True,Chesterfield has eliminated more positions from its general government operations than the Commonwealth has from the entire state government since (fiscal) 2009.,"['county-government', 'jobs', 'state-budget']",James Stegmaier,speech
3410,True,The Koch network (is) spending more money (in a Senate race) in Ohio than anywhere else in the country.,"['campaign-finance', 'elections']",Sherrod Brown,writing
3412,False,Burnt Orange Report Says Texas Senate hopeful Donna Campbell doesnt live in the district shes hoping to win in 2012.,['candidates-biography'],Burnt Orange Report,social media
3413,True,The state covered a smaller percentage of the cost of K-12 education in 2013 than it did in 2002.,"['children', 'education', 'state-finances']",Claire Suggs,social media
3414,True,The government does not need a warrant to read your old emails.,['privacy'],Tom Graves,news
3415,False,"Gov. Scott Walker has led people to believe that if Wisconsin doesnt implement a (health-care) exchange, Obamacare doesnt happen here.","['federal-budget', 'health-care', 'state-budget']",Jon Erpenbach,news
3416,True,The poorest in this country are women.,"['families', 'poverty', 'women']",Marcy Kaptur,speech
3417,False,Dow Chemical decided to build a plant in Saudi Arabia rather than Oklahoma due to the impact of environmental regulations on the supply of natural gas.,"['energy', 'government-regulation']",Mitt Romney,speech
3419,False,"The head of the IRS ordered 24,000 emails erased before Congress could review them, making sure the American people will never know the real truth.","['congress', 'taxes', 'technology', 'transparency']",John Fleming,speech
3420,False,In Newark were paying 80 percent of the school budget from local property taxes.,"['education', 'taxes']",Ronald Rice,speech
3421,True,"Georgia has the nations fifth largest Women, Infants and Children (WIC) Supplemental Nutrition program, serving more than 270,000 mothers, babies and children every day.",['welfare'],Georgia Department Public Health,social media
3422,False,Rosemary Lehmberg Says she created the first felony deferred prosecution program for nonviolent first-offenders in Texas.,"['county-government', 'crime', 'criminal-justice', 'legal-issues', 'public-safety']",Rosemary Lehmberg,ad
3423,False,"Hillary Clinton Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, I cant say that.","['history', 'women']",Hillary Clinton,social media
3425,True,"In every state, women are paid less than men.","['income', 'women', 'workers']",National Womens Law Center,news
3428,False,Newt Gingrich has said that we should make the 11 million illegal workers that are in this country legal.,['immigration'],Michele Bachmann,speech
3430,True,Stephen Nodine Says he can be on the ballot for Congress while serving time in jail.,['elections'],Stephen Nodine,speech
3431,False,National Coca-Cola study showed Texans love Texas more than residents of any other state love their state; Wisconsinites ranked second.,['history'],Paul Ryan,speech
3432,False,"Obama ""only wants your children to have health insurance.""",['health-care'],Hillary Clinton,ad
3434,False,The federal government is earning more tax revenue now than any other time.,"['economy', 'federal-budget', 'taxes']",Kevin Mccarthy,speech
3435,False,The United States was not one of 16 countries where David Perdue said in his Pillowtex deposition that he created jobs.,"['elections', 'job-accomplishments']",Michelle Nunn,speech
3436,True,Maggie Hassan missed nearly every university system board meeting.,"['education', 'voting-record']",National Republican Senatorial Committee,ad
3438,False,Josh Mandel opposed federal loans to the auto industry.,"['economy', 'jobs', 'campaign-advertising']",Sherrod Brown,speech
3439,True,"In our gun laws were allowing domestic abusers to sidestep this ban on getting a gun. The loophole allows a convicted abuser to walk into a gun show and walk out with a gun, no questions asked.","['crime', 'guns', 'women']",Frank Lautenberg,speech
3440,False,A substantial number of probationers participating in a pilot project to ease the farm labor shortage are able to finish the work.,['immigration'],Nathan Deal,speech
3441,False,The Simpson-Bowles deficit reduction proposal urged raising $2 trillion in new revenue.,"['federal-budget', 'taxes']",John Kerry,speech
3442,False,"The high-speed rail project would create 60,000-plus jobs for Floridians.","['jobs', 'stimulus', 'transportation']",Corrine Brown,speech
3443,True,Today almost half our debt is owned by foreigners.,"['federal-budget', 'foreign-policy', 'history']",Jeb Hensarling,speech
3444,True,David Jolly Says he was the only Republican to vote against creating a House panel to investigate Planned Parenthood.,"['abortion', 'congress']",David Jolly,speech
3445,False,"So far in 2015, there have been more mass shootings than days.",['guns'],Gavin Newsom,ad
3447,False,"Nothing was done. I mean, $25 million was spent, but we dont have that (gun ownership)database.",['guns'],Loretta Sanchez,speech
3448,True,Aaron Bean voted to give illegal immigrants in-state tuition.,['immigration'],Floridians Ethics And Truth Politics,ad
3449,False,Rick Perry Says he has a track record of not raising taxes.,['taxes'],Rick Perry,speech
3453,True,Were No. 1 in child hunger.,['children'],Carol Morgan,speech
3454,False,"Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.","['foreign-policy', 'history', 'nuclear']",Ted Cruz,speech
3455,True,"The pension fund in the city of Providence is only 30 percent funded, about the same level as when he [Taveras] took office.","['debates', 'debt', 'deficit', 'economy', 'job-accomplishments', 'campaign-advertising', 'pensions', 'unions', 'workers']",Gina Raimondo,speech
3456,True,Florida sends $135 billion and D.C. returns $150 billion.,"['federal-budget', 'medicaid', 'state-budget', 'taxes']",Debbie Mayfield,social media
3457,False,President Barack Obama delivered $2 billion to Brazil to help with offshore drilling projects.,"['energy', 'foreign-policy', 'new-hampshire-2012']",Rick Perry,speech
3458,True,Opponent Glenn Hegar expressed pride in legislated cuts to public school funding.,"['education', 'state-budget', 'state-finances']",Mike Collier,ad
3459,False,One. Thats the number of new drilling permits under the Obama administration since they came into office.,"['energy', 'oil-spill']",Michele Bachmann,speech
3460,False,We just had someone last week in Neenah near a school kill someone with a bow and arrow.,['guns'],Scott Walker,speech
3461,False,"The Obama administration offered $900 million to Hamas, a recognized terrorist organization, to rebuild Gaza.","['foreign-policy', 'terrorism']",Republican National Committee Republican,writing
3462,False,Wisconsin Gov. Scott Walker is making voting more difficult by closing Department of Motor Vehicles offices where low-income voters live.,"['elections', 'poverty']",Chris Bowers,speech
3465,False,"(Big banks) have invested over $300,000 in (Joe Heck), and Heck has sponsored $44 million dollars in tax breaks for banks.",['campaign-finance'],Senate Majority Pac,ad
3466,False,"The alternative to higher state worker pension and health care payments is to look at 1,500 layoffs of state employees or close to 200,000 children who would be bumped off Medicaid-related programs.","['labor', 'state-budget']",Scott Walker,speech
3467,True,"Contrary to popular belief, we actually dont have that many public employeesWe are well below average in the number of public employees.","['economy', 'labor', 'state-budget', 'state-finances', 'workers']",Gina Raimondo,speech
3468,True,"Right now, we have the lowest gas tax of anywhere in the country.","['taxes', 'transportation']",Colleen Kiernan,speech
3471,True,Providence has amongst the highest tax rate(s) in the entire country.,['taxes'],Anthony Gemma,speech
3473,True,"To help balance the 2011-13 budget, Gov. Scott Walker used a credit card approach that pushed over $500 million in debt onto our children and our grandchildren costing state taxpayers more than $150 million in interest.",['state-budget'],Tom Barrett,speech
3477,False,Democratic state Sen. Jim Holperin voted against a property tax freeze in 2009 and then voted for a $1.5 billion property tax hike.,"['state-budget', 'taxes']",Kim Simac,news
3478,True,Today the Walton family of Walmart own more wealth than the bottom 40 percent of America.,['economy'],Bernie S,social media
3479,True,Mitt Romney was director of a company that stole millions from Medicare.,['medicare'],Priorities Usa Action,ad
3482,True,Winning enough pledged delegates is not impossible.,['elections'],Bernie S,speech
3483,True,"Atlanta now has as many visitors as Las Vegas, San Diego and Los Angeles. Orlando, Fla., and New York City still have more visitors.",['tourism'],Kasim Reed,speech
3485,False,"Bill OBriens Tea Party legislature tried to repeal kindergarten and compulsory education, defund Planned Parenthood and eliminate insurance coverage for birth control.","['abortion', 'education', 'health-care']",New Hampshire Democratic Party,ad
3486,False,Proposition 205 blocks market entry for new marijuana dispensaries.,['marijuana'],Arizonans Responsible Drug Policy,ad
3487,False,"This is the same (farm) bill we voted on a few weeks ago, with the exception of one or two sentences.","['agriculture', 'federal-budget']",John Boehner,speech
3488,True,"None of the government programs targeted for elimination or severe cutback in House Republican spending plans appeared on the GAOs list of government programs at high risk of waste, fraud and abuse.","['deficit', 'federal-budget', 'government-efficiency']",Dennis Kucinich,speech
3489,False,We refused to balance the budget on the backs of our children.,['education'],Casey Cagle,ad
3490,True,A majority of the American people opposed the health care law when it was signed and still oppose it today.,['health-care'],George Allen,social media
3491,False,"When Chuck Schumer and Marco Rubio tried to push amnesty, it was Ted Cruz who stopped them.",['immigration'],Courageous Conservatives Pac,speech
3492,False,"Hillary Clinton has already said shes going to wipe out the Second Amendment. She doesnt believe in the First Amendment. And, she also believes in big government, which flies in the face of the 10th Amendment","['campaign-finance', 'guns', 'supreme-court']",Chris Collins,speech
3494,True,"Virginia, Florida and Georgia are the three states that are the principal source for gun trafficking.","['crime', 'guns']",Jim Moran,speech
3495,False,Hillary Clinton shows up in Broward County and had a private meeting with elections supervisor Brenda Snipes.,['elections'],Roger Stone,speech
3496,False,Voter fraud provided a portion of the margin of victory of Democrat John Lehman over Republican Sen. Van Wanggaard in a state Senate recall election.,['elections'],Robin Vos,speech
3501,True,"Our debt now is about $140,000 per household.","['debt', 'taxes']",Rob Portman,speech
3503,False,"The Massachusetts health care plan dealt with 8 percent of our population, far less than the 100 percent of American people affected by President Barack Obamas health care law.",['health-care'],Mitt Romney,social media
3504,False,Georgias illegal immigration crackdown laws should be called the Brown Codes because of their similarity to the Black Codes governing blacks after the Civil War.,"['history', 'immigration']",Robert Brown,news
3506,True,Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.,"['energy', 'environment', 'oil-spill']",Progress Florida,news
3507,False,Barack Obama Says his comment about extremists being a JV team wasnt specifically referring to Islamic State.,"['foreign-policy', 'terrorism']",Barack Obama,speech
3508,True,"One man (New Castle, Del., County Executive, Chris Coons) thought property taxes should be hiked almost 50 percent.","['message-machine', 'taxes']",Christine Odonnell,ad
3509,False,"NAFTA, signed by Bill Clinton, has been a disaster for Pennsylvania.",['trade'],Donald Trump,speech
3510,False,Social Security has not contributed to the debt and the deficits.,['social-security'],Jeanne Shaheen,speech
3512,False,Texas is one of only a handful of states that does not have an equal pay law.,"['economy', 'history', 'legal-issues', 'states', 'women']",Wendy Davis,speech
3513,False,Charlie Crists campaign bashedSen. Bill Nelsons big-government solutions.,['elections'],Msnbc,Undefined
3517,True,"By 2009, dozens of senior terrorists had been taken off the battlefield by drones.","['afghanistan', 'foreign-policy', 'iraq', 'legal-issues', 'military', 'terrorism']",Hillary Clinton,writing
3518,False,"Tommy Thompson favors Obamas health care mandate, was publicly thanked by Obama for health reform support and that Thompson says we cant repeal Obamacare.","['health-care', 'message-machine-2012', 'public-health']",Eric Hovde,speech
3519,True,"David Barton Says state Rep. Jim Keffer, a GOP lieutenant to House Speaker Joe Straus, ""did mail pieces for Democrat Mark Strama to help him defeat"" a Republican.",['bipartisanship'],David Barton,writing
3523,False,There was serious voter fraud in New Hampshire.,"['elections', 'government-regulation', 'voting-record']",Donald Trump,social media
3524,True,Tallahassee is the ninth-rainiest (city) in the nation.,['weather'],John Buss,speech
3525,True,Knopp says he upheld a campaign promise not to join the Public Employees Retirement System (PERS).,"['elections', 'pensions', 'retirement', 'state-budget', 'state-finances', 'transparency']",Tim Knopp,news
3526,True,The United States is the only advanced country on Earth that doesnt guarantee paid maternity leave to our workers.,"['jobs', 'women', 'workers']",Barack Obama,speech
3527,True,Faculty salaries at UW System institutions have now fallen more than 18 percent below the national average.,"['education', 'state-budget', 'state-finances']",Kevin Reilly,speech
3531,False,The Democratic Party createda debate schedule to maximize the opportunity for voters to see our candidates.,"['debates', 'elections']",Debbie Wasserman Schultz,speech
3533,True,"The United States has an immigration system where only 6.5 percent of people who come here, come here based on labor and skill.",['immigration'],Marco Rubio,speech
3534,True,We now consume at the federal level 25 percent of the gross domestic product. Historically we were at 20 percent. So weve taken 5 percent away from the private sector.,"['economy', 'federal-budget']",Rand Paul,speech
3536,False,Gov. Rick Scott is spending a quarter of a million of our tax dollars to robocall people.,['state-budget'],Florida Voter,ad
3539,True,"In South Florida, weve had nine inches of sea-level rise since the 1920s.",['environment'],Debbie Wasserman Schultz,speech
3540,True,"Inequality in Texas is steadily getting worse, with very few rich people, a great many poor people, and fewer and fewer in the middle.","['census', 'economy', 'families']",Ronnie Earle,speech
3541,True,Mitt Romney has a corporation in Bermuda (but) failed to disclose that on seven different financial disclosures.,"['candidates-biography', 'corrections-and-updates', 'taxes']",Robert Gibbs,speech
3542,True,Washing your hands and covering your mouth when you cough makes a huge difference in reducing transmission of the flu.,['health-care'],Barack Obama,speech
3543,True,"Half of all personal bankruptcies in America ""are caused by medical bills.""",['health-care'],Hillary Clinton,speech
3544,True,The president of the United States came in the Tuesday before the election in a ward that went 99% for him in the last election and they couldnt even (increase) the vote there.,['elections'],Scott Walker,speech
3545,False,"Spending on welfare, on prisons, and education, all of those have dropped by hundreds of millions of dollars because of Arizonas immigration laws that drove outundocumented immigrants.",['immigration'],Ted Cruz,speech
3546,False,"Over the last 20 years, the world has changed. It used to be that one could make a career out of working for one company. Today, the average worker stays at his or her job for barely four years.","['economy', 'jobs']",Eric Cantor,speech
3547,False,We gave every public employee in the state the freedom to choose whether or not they want to be in a union.,"['labor', 'state-budget']",Scott Walker,speech
3548,False,Scott Walker raises nearly 70 percent of his money from out of state,['elections'],Mary Burke,speech
3549,False,David Simpson actually voted for drivers licenses for illegal immigrants.,"['immigration', 'transportation', 'voting-record']",Bryan Hughes,ad
3550,False,Saysproposal to boostteacherpension fundputs no mandate on local government.,"['city-budget', 'county-budget', 'education', 'pensions', 'state-budget']",Bob Mcdonnell,speech
3551,False,"Donald Trump Says after Hillary Clinton helped a man accused of raping a 12-year-old, shes seen laughing on two separate occasions, laughing at the girl who was raped.","['candidates-biography', 'corrections-and-updates', 'criminal-justice', 'women']",Donald Trump,speech
3552,False,Gov. Scott Walker said no to equal pay for equal work for women.,"['jobs', 'legal-issues', 'message-machine-2012', 'women', 'workers']",Tom Barrett,ad
3554,False,We werent told they wanted more security for diplomatic facilities in Libya.,"['foreign-policy', 'terrorism']",Joe Biden,speech
3555,False,Hillary Clinton spent 30 days in the hospital in 2012 and appeared wearing glasses that are only for people who have traumatic brain injury.,['elections'],Karl Rove,speech
3556,True,"When I became president and CEO of Godfathers Pizza, it was supposed to go bankrupt . . . We turned it around with common-sense business principles.","['candidates-biography', 'corporations']",Herman Cain,social media
3557,False,"In Houston, Texas, today, there are no homeless veterans.",['homeless'],Jeb Bush,speech
3558,False,The City of Portland alone has 84 public relation representatives on payroll which cost taxpayers over $6.2 million (a year).,"['city-government', 'government-efficiency']",Taxpayer Association Oregon,news
3560,False,Charlie Crists personal approval numbers are plummeting.,"['elections', 'pundits']",Steven Schale,social media
3561,True,Most countries have no debt ceiling.,"['deficit', 'economy', 'pundits', 'abc-news-week']",Arianna Huffington,news
3563,True,John Mccain Says he holds the record for most appearances on Meet the Press.,"['history', 'pop-culture', 'pundits']",John Mccain,speech
3564,False,Saddam Hussein had a 10-year relationship with al-Qaida.,"['afghanistan', 'ethics', 'human-rights', 'iraq', 'military', 'terrorism']",Dick Cheney,speech
3565,False,Congresswoman Frederica Wilson successfully postpones closure of the North Perry airport tower.,"['federal-budget', 'transportation']",Frederica Wilson,news
3566,False,"Every day, about 100 people will be arrested for possession of marijuana in Georgia.","['criminal-justice', 'drugs', 'marijuana']",James Bell,news
3568,False,"Just like Hillary Clinton, Russ Feingold had a run-in with corruption and scandal by using a personal slush fund -- a.k.a. the Feingold Foundation -- while plotting another run for U.S. Senate.","['campaign-finance', 'ethics', 'foreign-policy']",Republican Party Wisconsin,ad
3569,True,We know that every 85 visitors create one Florida job.,"['economy', 'jobs', 'tourism']",Rick Scott,speech
3570,True,"Since 2009, after-tax incomes are up nearly 14 percent.",['economy'],Penny Pritzker,social media
3571,True,"We understand that this heroin is primarily coming from Mexico, over the border.",['drugs'],Rob Portman,speech
3572,True,Ted Cruz has been to Iowa four times. Rio Grande Valley of Texas -- just once.,['candidates-biography'],Jim Moore,social media
3573,False,The media created the term polar vortex and the cold air proves the ice isnt melting.,"['climate-change', 'weather']",Rush Limbaugh,speech
3574,False,"New Jersey today has fewer employees in state government than it had when Christie Whitman left office in January of 2001, and I think thats good. And we did it without any layoffs. We did it through attrition.",['jobs'],Chris Christie,speech
3575,True,"Over the past 10 years, the number of people living in Lower Manhattan has nearly doubled. In fact, Lower Manhattan has added more people over the last 10 years than Atlanta, Dallas and Philadelphia combined.","['housing', 'terrorism']",Michael Bloomberg,speech
3577,True,"The top man at Yale Law School came out ... with just a raging report about former HP CEO Carly Fiorina,saying she isone of the worst executives in his memory in history running the company.",['candidates-biography'],Donald Trump,speech
3578,False,The American slave trade caused 5 million deaths or more.,['history'],Jon Stewart,ad
